"cell_id","cell","alpha_true","n","n_iter","burnin","rep","x_a","x_g","delta_post","mu_ratio","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"low-shape",0.1,100,NA,NA,NA,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"Miller-Gamma","ok",0.00085783698881084,3.33468382819775e-05,0.0980818907166916,0.000103377961877208,0.079170235576712,0.118988588893248,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"low-shape",0.1,100,NA,NA,NA,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"Stirling-Gamma","ok",0.953595205228546,0.0371842488643599,0.0609309888299293,7.20890368891839e-05,0.045437128183907,0.0786629012424511,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"moderate-shape",5,50,NA,NA,NA,5.17628762783593,4.7762061872935,50,1.08376552955498,"Miller-Gamma","ok",0.00112517885364127,0.00467139124367324,6.74189482345764,1.6391206255465,4.47014175290586,9.47299066826186,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"moderate-shape",5,50,NA,NA,NA,5.17628762783593,4.7762061872935,50,1.08376552955498,"Stirling-Gamma","ok",0.0499914617227871,0.157933694852122,6.58863252144567,1.63811616991138,4.32317829623414,9.32376834793424,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"high-shape-large-n",20,500,NA,NA,NA,19.7471401368752,19.2324313618892,500,1.02676254319077,"Miller-Gamma","ok",0.000177659647763728,0.000405233625731387,19.2095295381211,1.44235514321935,16.9275541653387,21.6336995900023,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"high-shape-large-n",20,500,NA,NA,NA,19.7471401368752,19.2324313618892,500,1.02676254319077,"Stirling-Gamma","ok",0.0544922329937962,0.163888726027522,19.0453182607182,1.44224313181728,16.7640552453752,21.4699901418355,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"low-shape",0.1,100,5000,1000,1,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"P-IG Gibbs","ok",0.0200473130583548,0.000305972735646738,0.0983973247258892,0.000105083960881004,0.0790706502998781,0.119507857009686,TRUE,3563.93911885507,0.712787823771014,572.612326294195,0.103574061917482,-0.00112807548891496,6.224,NA,NA,200,4000,""
1,"low-shape",0.1,100,5000,1000,4,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"P-IG Gibbs","ok",0.0120010761071554,0.000210075760552748,0.0979878460648863,9.84123025486293e-05,0.0795735839628115,0.118391887569577,TRUE,3635.34456651918,0.727068913303837,585.495984300078,0.0689438326080263,0.025674025922741,6.209,NA,NA,200,4000,""
1,"low-shape",0.1,100,100000,20000,2,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"P-IG Gibbs","ok",0.00263816385906596,3.27920791039746e-05,0.0981230056770826,0.000103013670901953,0.0792634387335633,0.119047828838273,TRUE,66712.2367866221,0.667122367866221,722.995456765022,0.0905640460337346,-0.00219766302921577,92.272,NA,NA,200,80000,""
1,"low-shape",0.1,100,20000,4000,1,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"P-IG Gibbs","ok",0.00570899838608274,0.00010153260868314,0.0980186221602266,0.000103067997566266,0.079229166584672,0.118976749994599,TRUE,14804.1352534176,0.740206762670879,711.942639868115,0.0764565829264488,-0.0063572093379086,20.794,NA,NA,200,16000,""
