"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058783,5.37883300452028,1.37728379735969,10.2667587191493,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.0753606243925977,0.246544444089467,4.59910335676147,5.61401189812861,1.29226258164042,10.0716304698535,TRUE,27.0305009242399,0.0270305009242399,93.5311450665741,0.934553162747711,0.539459359590374,0.289,NA,NA,200,800,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"Numerical grid","ok",0,0,0.795493776180798,0.0763665920796362,0.35553995661961,1.42560456737708,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"P-IG Gibbs","ok",0.0257081327269993,0.0140797264317983,0.78085269043312,0.0749972873320099,0.333519929532461,1.42084650365924,TRUE,258.690409795673,0.258690409795673,998.804671025764,0.510838495823701,0.0490061945099602,0.259,NA,NA,200,800,""
3,"prior","delta=0.5, center=10",1,2,30,0.5,10,FALSE,2.12444163954038,1.59292554049366,30.5,1.37389866961407,1.86572066030215,"Numerical grid","ok",0,0,1.87173717760859,0.180295747495725,1.13911820054198,2.79415196379154,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"prior","delta=0.5, center=10",1,2,30,0.5,10,FALSE,2.12444163954038,1.59292554049366,30.5,1.37389866961407,1.86572066030215,"P-IG Gibbs","skipped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,"P-IG Gibbs skipped: posterior delta is non-integer"
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"Numerical grid","ok",0,0,0.0728514892375115,0.000497668814624801,0.0359822606599801,0.122625500511284,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"P-IG Gibbs N=10","ok",0.0257227150545709,0.000992304775545681,0.0734183405782897,0.000544280466883595,0.0365084877120161,0.125862053339724,TRUE,800,0.8,19512.1951219513,0.00503400993733827,0.00359025246010626,0.0409999999999999,NA,NA,10,800,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"P-IG Gibbs N=20","ok",0.0165041371142439,0.000662175987862998,0.0721939116999424,0.0004655716111592,0.0362976657527029,0.117906799354571,TRUE,800,0.8,21052.6315789473,0.0207761639332563,-0.00412555320589165,0.038,NA,NA,20,800,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"Numerical grid","ok",0,0,0.102995617163776,0.000114425203546273,0.0831120444196094,0.124987344216029,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"P-IG Gibbs","ok",0.0252201809445063,0.00035865761324193,0.103087763155883,0.00010804443205767,0.083776884378244,0.124650523489997,TRUE,697.733899608982,0.697733899608982,826.698933185998,0.0676572726323999,-0.042317214997113,0.844,NA,NA,200,800,""
