"time","completed","total","remaining","percent","elapsed_sec","eta_sec","chunk_elapsed_sec","last_task_id"
"2026-04-30 17:19:19",1,5,4,20,0.399003028869629,1.59601211547852,0.392,1
"2026-04-30 17:19:19",2,5,3,40,0.679350852966309,1.01902627944946,0.278,2
"2026-04-30 17:19:19",3,5,2,60,0.685016870498657,0.456677913665771,0.006,3
"2026-04-30 17:19:19",4,5,1,80,0.780555009841919,0.19513875246048,0.089,4
"2026-04-30 17:19:20",5,5,0,100,1.63299989700317,0,0.853,5
