"method","r_true","r_mean","r_sd","r_q025","r_q975","elapsed_sec","covered"
"PIG_PG_beta_unknown",5,5.16023989009763,0.396708228748417,4.40294489856887,5.97617837051454,12.569,TRUE
"PIG_r_beta_known",5,5.32679190504882,0.319828231611695,4.73570035590693,5.98911497139274,1.612,TRUE
