"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
3,"prior","delta=0.5, center=10",1,2,30,0.5,10,FALSE,2.12444163954038,1.59292554049366,30.5,1.37389866961407,1.86572066030215,"P-IG Gibbs","skipped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"P-IG Gibbs skipped: posterior delta is non-integer"
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"Numerical grid","ok",0,0,0.0728514892375115,0.0004976688146248,0.035860922098678,0.122218874137496,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"Miller-Gamma","ok",0.0041286744193143,0.000191671944669674,0.07271168874733,0.000495608882612709,0.0358411698192879,0.122403973164344,TRUE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"Miller-IMH","ok",0.0786874261965883,0.00248619904555299,0.0707277731624772,0.000410532226950984,0.0418090739243881,0.11373837748723,TRUE,80,0.8,40000,-0.00887445948712201,-0.0389256714047915,0.002,1,NA,NA,80,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"Stirling-Gamma","ok",0.461075559724299,0.0244442533574589,0.048080225919674,0.000355647403767214,0.0185247581679326,0.0914841131636384,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"Slice-log-alpha","ok",0.100616534101328,0.00353364988051702,0.0742125160949785,0.000407721440356579,0.0377745200430341,0.112418644540687,TRUE,80,0.8,40000,0.0906475582176555,-0.105265058449207,0.002,NA,3.72,NA,80,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"P-IG Gibbs N=10","ok",0.0759865224024483,0.00218246743284689,0.0707723302655012,0.000445954626661573,0.0301643931103241,0.113856390186836,TRUE,80,0.8,40000,0.104935736666408,0.0427951576216385,0.002,NA,NA,10,80,""
4,"truncation","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0287234084455672,3.86347342155531e-08,10,743460.749213699,0.0727113752223649,"P-IG Gibbs N=20","ok",0.169775734732074,0.00683687730593037,0.0657292738509979,0.00029456024940762,0.0347804828818099,0.0988268678108792,FALSE,80,0.8,80000.0000000043,0.109976138442233,0.116810653164986,0.000999999999999945,NA,NA,20,80,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"Numerical grid","ok",0,0,0.102995617163776,0.000114425203546273,0.0830188415627887,0.124846407808516,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"Miller-Gamma","ok",0.00464667731825907,0.000110097051447276,0.102951064232555,0.000114333163644693,0.0830646601188709,0.124939567591371,TRUE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"Miller-IMH","ok",0.10059888156352,0.00152749879296773,0.104235535203596,0.000118659209432922,0.086165630489091,0.125005058759347,TRUE,121.026444046664,1.21026444046664,121026.444046664,-0.210181023785,-0.0499650796801441,0.001,1,NA,NA,80,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"Stirling-Gamma","ok",0.949872068265357,0.0385008358298516,0.0643404229060734,8.03823304802402e-05,0.0479795929645909,0.0830645362917847,FALSE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"Slice-log-alpha","ok",0.0817558255449231,0.00142170177347633,0.104026844552539,0.000108447557864469,0.0857726576577035,0.126065007788727,TRUE,113.26036536416,1.1326036536416,37753.4551213865,0.0680616747490761,-0.0772351665213694,0.003,NA,4.01,NA,80,""
5,"extreme","alpha=0.1, n=100",1,0.1,100,0,NA,FALSE,0.0617482522592823,2.06253660950933e-05,100,2993.80151482363,0.102950485910179,"P-IG Gibbs","skipped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"P-IG Gibbs skipped: posterior delta 100 exceeds pig_max_delta 30"
