"alpha_true","n","method","reps","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
0.1,10,"P-IG Gibbs",200,0.68821844374406,1495.76322143879,2.29249999999957,2.44030000000004,NA,0.086470683263153,0.000787698666848812
0.1,10,"Slice-log-alpha",200,0.8,20671.9726510336,0.190499999999997,0.257100000000004,NA,0.00550775125982324,0.000248492436776929
0.1,10,"Miller-IMH",200,0.8,45454.5454545436,0.0849999999999937,0.126999999999995,0.9948,0.0147102140541291,0.00138933123690327
0.1,50,"P-IG Gibbs",200,0.661173767732911,945.643500043486,3.53449999999975,4.08909999999994,NA,0.0957940056843815,-0.0011827353933201
0.1,50,"Slice-log-alpha",200,0.8,20192.3954418625,0.196500000000002,0.275100000000005,NA,0.00302491497685832,-0.000721952258713028
0.1,50,"Miller-IMH",200,0.8,45977.0114942511,0.0849999999999937,0.129200000000001,0.9972,0.00963502214376365,0.000310479160699799
0.1,500,"P-IG Gibbs",200,0.653692615452998,176.461376247724,18.6310000000001,19.323,NA,0.0994334697160004,-0.00136300711016703
0.1,500,"Slice-log-alpha",200,0.8,17443.3215767848,0.226500000000009,0.316100000000003,NA,0.00203474468774157,0.00107248706965787
0.1,500,"Miller-IMH",200,0.8,47619.0476190458,0.0840000000000032,0.1253,0.9992,0.00159006945849942,-0.000439256684632149
0.5,10,"P-IG Gibbs",200,0.297406379256152,641.047049556657,2.29049999999995,2.42430000000001,NA,0.481653957178896,0.0080499139321555
0.5,10,"Slice-log-alpha",200,0.8,20779.3609671853,0.192,0.252299999999999,NA,0.00565113496448887,0.000455518059983296
0.5,10,"Miller-IMH",200,0.744539019728248,43300.7854403119,0.0859999999999985,0.123400000000005,0.9874,0.0363808957981388,-0.000289237930815355
0.5,50,"P-IG Gibbs",200,0.300561390713593,447.142752473683,3.45649999999978,4.10999999999972,NA,0.450800783922673,-0.00202665596907955
0.5,50,"Slice-log-alpha",200,0.8,20356.2522896497,0.194000000000003,0.2681,NA,0.00281363994095021,-0.000483198621731204
0.5,50,"Miller-IMH",200,0.8,45606.3789578642,0.0849999999999937,0.129200000000004,0.9932,0.0208188744357261,0.00212167713540417
0.5,500,"P-IG Gibbs",200,0.311571069262231,84.7662041614014,18.604,19.4199999999998,NA,0.438761726117879,-0.000693391127622013
0.5,500,"Slice-log-alpha",200,0.8,17942.7682873685,0.222000000000002,0.307100000000001,NA,-0.000532659112731627,0.00039129993087675
0.5,500,"Miller-IMH",200,0.8,47619.0476190458,0.0830000000000002,0.1221,0.9976,0.00694751550326785,-0.00219297765613766
1,10,"P-IG Gibbs",200,0.12489279124923,291.382200676896,2.23999999999984,2.45899999999983,NA,0.727475878390443,0.104996780280498
1,10,"Slice-log-alpha",200,0.8,20454.7373778245,0.193500000000006,0.263200000000005,NA,0.00526116142190091,0.000634645380175722
1,10,"Miller-IMH",200,0.755959179750042,45075.0829216668,0.0820000000000078,0.126300000000005,0.9883,0.030052282829237,0.000359382424578876
1,50,"P-IG Gibbs",200,0.151018321121108,189.780375875548,3.89700000000005,4.15289999999986,NA,0.682741446037128,0.0230218297928312
1,50,"Slice-log-alpha",200,0.8,20618.5567010303,0.188500000000001,0.263400000000004,NA,0.00363612142262052,-0.000813598488203447
1,50,"Miller-IMH",200,0.8,45977.0114942558,0.0839999999999979,0.139099999999999,0.9932,0.0197544053082388,-0.00145605495490889
1,500,"P-IG Gibbs",200,0.155190601149481,42.4226745191324,18.2520000000002,19.2168999999999,NA,0.677481804932247,0.0205124872331833
1,500,"Slice-log-alpha",200,0.8,18257.969952908,0.219000000000008,0.305199999999992,NA,0.00201691092035905,0.00123698347791844
1,500,"Miller-IMH",200,0.8,47619.0476190468,0.0829999999999984,0.1251,0.9978,0.00607253549109349,-0.000850184513840524
2,10,"P-IG Gibbs",200,0.0449023138134311,104.692902423186,2.24449999999979,2.47519999999992,NA,0.880816154904323,0.347404062991633
2,10,"Slice-log-alpha",200,0.8,20408.1632653061,0.193999999999998,0.258199999999996,NA,0.00687327849237489,-0.00150913469491733
2,10,"Miller-IMH",200,0.8,45305.7878274779,0.0840000000000032,0.122999999999991,0.9924,0.0191052562582718,0.000714886144988715
2,50,"P-IG Gibbs",200,0.0617766581593965,78.8101000884155,3.9079999999999,4.19399999999997,NA,0.853792143002714,0.217296804215749
2,50,"Slice-log-alpha",200,0.8,21052.3841094621,0.187500000000007,0.266100000000004,NA,0.00560975011668454,-9.00281277316941e-05
2,50,"Miller-IMH",200,0.8,46511.6279069736,0.0840000000000032,0.125,0.9948,0.0125326931221253,-0.000657113677850127
2,500,"P-IG Gibbs",200,0.0619013449792055,16.9570983274303,18.3309999999999,19.2970000000003,NA,0.855707648641984,0.211732083768237
2,500,"Slice-log-alpha",200,0.8,18036.8977137739,0.218500000000006,0.304000000000002,NA,0.00110648145787462,0.000391757656487058
2,500,"Miller-IMH",200,0.8,47619.0476190458,0.0839999999999943,0.1251,0.9984,0.00274332871222844,0.00102314430720815
5,10,"P-IG Gibbs",200,0.0127835581647744,28.8056566982393,2.25199999999998,2.50139999999999,NA,0.965446528199575,0.716323069087796
5,10,"Slice-log-alpha",200,0.8,20931.2288670151,0.1875,0.260100000000004,NA,0.00879127778189435,0.00176240787868393
5,10,"Miller-IMH",200,0.8,45977.0114942511,0.0859999999999985,0.1254,0.9964,0.00879803908409678,0.0013853000307473
5,50,"P-IG Gibbs",200,0.0163135602153392,20.7501618329636,3.94049999999987,4.2162999999999,NA,0.95890602984308,0.660830033597664
5,50,"Slice-log-alpha",200,0.8,21012.9567736155,0.189,0.267499999999995,NA,0.00621190722178502,-0.00165254798834127
5,50,"Miller-IMH",200,0.8,48192.7710843383,0.0820000000000149,0.127100000000002,0.9976,0.0060661504994262,-0.00200096428153686
5,500,"P-IG Gibbs",200,0.0176756834334921,4.72913718997764,18.393,19.2827,NA,0.956341561228206,0.638724534895829
5,500,"Slice-log-alpha",200,0.8,17936.8785416493,0.224000000000002,0.298100000000001,NA,0.00066555252550463,-0.00192200680697443
5,500,"Miller-IMH",200,0.8,47619.0476190458,0.0839999999999979,0.123100000000017,0.9992,0.00324956098815273,-0.00116431636139297
20,10,"P-IG Gibbs",200,0.00254767563406341,5.8221492893975,2.29400000000001,2.67230000000045,NA,0.992795560051467,0.93119050971638
20,10,"Slice-log-alpha",200,0.8,21054.4308657748,0.188499999999998,0.267100000000022,NA,0.0073358389068167,0.000790403385055203
20,10,"Miller-IMH",200,0.8,47619.0476190468,0.0835000000000025,0.1221,0.999,0.00315614240112521,0.00332439618276695
