"alpha_true","n","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
0.1,10,"P-IG Gibbs",200,200,0.0139544135723823,0.000299958668742008,0.000942638621400809,3.64586594211913e-05,0.85,0.041675727777834,0.68821844374406,1495.76322143879,2.29249999999957,2.44030000000004,NA,0.086470683263153,0.000787698666848812
0.1,10,"Slice-log-alpha",200,200,0.014354935423106,0.000289255482614045,0.000985882522554705,3.93507592557066e-05,0.84,0.0416832352286927,0.8,20671.9726510336,0.190499999999997,0.257100000000004,NA,0.00550775125982324,0.000248492436776929
0.1,10,"Miller-IMH",200,200,0.0134551669909697,0.00029837467129969,0.000931808219745539,4.82475505055818e-05,0.86,0.0417940766288104,0.8,45454.5454545436,0.0849999999999937,0.126999999999995,0.9948,0.0147102140541291,0.00138933123690327
0.1,10,"Miller-Gamma",200,200,0.00324319367802759,8.53295508449612e-05,0.000558101433425937,3.18712518339528e-05,0.855,0.0410624094245211,NA,NA,0.00300000000000011,0.00500000000000256,NA,NA,NA
0.1,10,"Stirling-Gamma",200,200,0.403404843872647,0.00314363136108613,0.0406749574585212,0.00082403435201276,0.9,0.000945554753368309,NA,NA,0.00300000000000011,0.0040000000000191,NA,NA,NA
0.1,50,"P-IG Gibbs",200,200,0.0138127485962278,0.000294960879527369,0.00033391001505842,9.76706762375267e-06,0.895,0.00945733012823506,0.661173767732911,945.643500043486,3.53449999999975,4.08909999999994,NA,0.0957940056843815,-0.0011827353933201
0.1,50,"Slice-log-alpha",200,200,0.0139973555622599,0.000304257029062567,0.000350521066697745,9.30153198866636e-06,0.905,0.00948983096542501,0.8,20192.3954418625,0.196500000000002,0.275100000000005,NA,0.00302491497685832,-0.000721952258713028
0.1,50,"Miller-IMH",200,200,0.013718476283094,0.000283439712888964,0.000328554392968766,8.90435378306438e-06,0.905,0.00945815990241619,0.8,45977.0114942511,0.0849999999999937,0.129200000000001,0.9972,0.00963502214376365,0.000310479160699799
0.1,50,"Miller-Gamma",200,200,0.00142720771411516,1.54782957986735e-05,8.66738786465767e-05,2.04816695889343e-06,0.91,0.00936820864366108,NA,NA,0.00399999999999068,0.00600000000000023,NA,NA,NA
0.1,50,"Stirling-Gamma",200,200,0.824842614801225,0.00146471848861051,0.0396574576166061,0.000354166685430221,0.395,-0.0302025748306109,NA,NA,0.00300000000000011,0.00499999999999616,NA,NA,NA
0.1,500,"P-IG Gibbs",200,200,0.0143615821800901,0.000322384674421592,0.000103412358475883,2.70744295994841e-06,0.955,0.00102294682105387,0.653692615452998,176.461376247724,18.6310000000001,19.323,NA,0.0994334697160004,-0.00136300711016703
0.1,500,"Slice-log-alpha",200,200,0.0139272613039713,0.000296806870334037,9.94402780598673e-05,2.45582940995534e-06,0.95,0.00101500190433552,0.8,17443.3215767848,0.226500000000009,0.316100000000003,NA,0.00203474468774157,0.00107248706965787
0.1,500,"Miller-IMH",200,200,0.0139208177076322,0.000303460500884165,9.83424792674894e-05,2.5913205419903e-06,0.95,0.00102543999888679,0.8,47619.0476190458,0.0840000000000032,0.1253,0.9992,0.00159006945849942,-0.000439256684632149
0.1,500,"Miller-Gamma",200,200,0.000224111755895878,1.12280711014665e-06,3.82161422139394e-06,3.80784381537025e-08,0.95,0.00101458262686046,NA,NA,0.00499999999999545,0.0069999999999915,NA,NA,NA
0.1,500,"Stirling-Gamma",200,200,0.999990813107715,1.8658656183013e-07,0.0385911366734067,0.000100571572685848,0,-0.037572732368013,NA,NA,0.00400000000000489,0.00600000000000023,NA,NA,NA
0.5,10,"P-IG Gibbs",200,200,0.0177840105433605,0.000561537670718435,0.00910936116682833,0.000831771978302006,0.875,0.263657086337136,0.297406379256152,641.047049556657,2.29049999999995,2.42430000000001,NA,0.481653957178896,0.0080499139321555
0.5,10,"Slice-log-alpha",200,200,0.0141803383701029,0.000283518553716166,0.00565167210703162,0.000238323418435688,0.875,0.264181316373526,0.8,20779.3609671853,0.192,0.252299999999999,NA,0.00565113496448887,0.000455518059983296
0.5,10,"Miller-IMH",200,200,0.0134758271733499,0.000291908219909859,0.00545269771439164,0.000266991793764451,0.87,0.264001165116412,0.744539019728248,43300.7854403119,0.0859999999999985,0.123400000000005,0.9874,0.0363808957981388,-0.000289237930815355
0.5,10,"Miller-Gamma",200,200,0.00792956968152317,3.79631311497012e-05,0.00634937226010044,0.000195031930741959,0.88,0.257856068761755,NA,NA,0.00300000000000011,0.004999999999999,NA,NA,NA
0.5,10,"Stirling-Gamma",200,200,0.183761248578425,0.00351260552352065,0.100574260051354,0.000985263694910419,0.955,0.163631184209092,NA,NA,0.00300000000000011,0.00499999999999545,NA,NA,NA
0.5,50,"P-IG Gibbs",200,200,0.0166746444662622,0.000429740030334926,0.00243936248543666,9.43161954000875e-05,0.93,0.0522765457889889,0.300561390713593,447.142752473683,3.45649999999978,4.10999999999972,NA,0.450800783922673,-0.00202665596907955
0.5,50,"Slice-log-alpha",200,200,0.0143336935327729,0.000303938505274222,0.00196634484881399,5.04647227602668e-05,0.925,0.0521016145048799,0.8,20356.2522896497,0.194000000000003,0.2681,NA,0.00281363994095021,-0.000483198621731204
0.5,50,"Miller-IMH",200,200,0.013722212286886,0.000300790400647409,0.00191362937550842,5.9114098950869e-05,0.925,0.0520712860789244,0.8,45606.3789578642,0.0849999999999937,0.129200000000004,0.9932,0.0208188744357261,0.00212167713540417
0.5,50,"Miller-Gamma",200,200,0.00388125906472597,1.11163690554631e-05,0.0012438538945544,1.94917808709767e-05,0.925,0.0507499736394467,NA,NA,0.00300000000000011,0.00500000000000327,NA,NA,NA
0.5,50,"Stirling-Gamma",200,200,0.464798770807898,0.00349413043201982,0.106048435957064,0.000524729124889611,0.835,-0.0540546073464652,NA,NA,0.00300000000000011,0.00500000000000078,NA,NA,NA
0.5,500,"P-IG Gibbs",200,200,0.0163223153443944,0.000422947961648503,0.000709826523955353,2.32057116249087e-05,0.955,0.0054660434142031,0.311571069262231,84.7662041614014,18.604,19.4199999999998,NA,0.438761726117879,-0.000693391127622013
0.5,500,"Slice-log-alpha",200,200,0.0145813488390257,0.000322036380655465,0.00059706745698622,1.55660023405878e-05,0.95,0.00552557796349364,0.8,17942.7682873685,0.222000000000002,0.307100000000001,NA,-0.000532659112731627,0.00039129993087675
0.5,500,"Miller-IMH",200,200,0.013389884354939,0.000324190570005147,0.00051786297170984,1.33665950948789e-05,0.96,0.00547814994848994,0.8,47619.0476190458,0.0830000000000002,0.1221,0.9976,0.00694751550326785,-0.00219297765613766
0.5,500,"Miller-Gamma",200,200,0.000989703127369926,1.21967434694846e-06,0.000101923604479553,5.2728819445527e-07,0.95,0.00537838668024317,NA,NA,0.00400000000000489,0.00700000000000145,NA,NA,NA
0.5,500,"Stirling-Gamma",200,200,0.960928131182429,0.000507028729284808,0.106419116032121,0.000164370073718308,0.04,-0.100938805570204,NA,NA,0.00400000000000489,0.0069999999999915,NA,NA,NA
1,10,"P-IG Gibbs",200,200,0.0224726413352149,0.000849916935749858,0.0307990850855694,0.00295345719023712,0.825,0.713777303788923,0.12489279124923,291.382200676896,2.23999999999984,2.45899999999983,NA,0.727475878390443,0.104996780280498
1,10,"Slice-log-alpha",200,200,0.0146466894456596,0.00034462663224902,0.0146296396791566,0.000962033619574145,0.82,0.714113224960356,0.8,20454.7373778245,0.193500000000006,0.263200000000005,NA,0.00526116142190091,0.000634645380175722
1,10,"Miller-IMH",200,200,0.0139842781339475,0.000308573853975442,0.0127793624288706,0.000558597327302582,0.825,0.713784085044491,0.755959179750042,45075.0829216668,0.0820000000000078,0.126300000000005,0.9883,0.030052282829237,0.000359382424578876
1,10,"Miller-Gamma",200,200,0.00729960304106577,8.63812725814649e-05,0.0117081244699174,0.000223408699718162,0.84,0.701131659210102,NA,NA,0.00300000000000011,0.00600000000000023,NA,NA,NA
