"alpha_true","n","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
0.05,100,"P-IG Gibbs",20,20,0.0138741477068607,0.00111306614325132,0.000113681625054881,1.11052233691741e-05,1,0.00148336180772668,0.724798437167236,633.941040350815,5.86949999999979,5.98340000000016,NA,0.0454549403546868,-0.00300388968318313
0.05,100,"Slice-log-alpha",20,20,0.0125363676634424,0.000879582701373911,9.48720393924739e-05,9.09549693716988e-06,1,0.00145322974738306,0.8,20077.51634866,0.192499999999996,0.207799999999989,NA,0.00659282676949206,-0.00144889140429112
0.05,100,"Miller-IMH",20,20,0.0144964366886503,0.000973694638324805,0.00010245360254298,6.00363261828294e-06,1,0.001477497227937,0.8,47619.0476190458,0.0840000000000032,0.0978999999999986,0.9988,0.0054916723554335,-0.000576180191218461
0.05,100,"Miller-Gamma",20,20,0.000399344081560055,1.11431886747726e-05,8.11480590398856e-06,3.91586572691086e-07,1,0.00145309477519749,NA,NA,0.00300000000000011,0.00410000000001674,NA,NA,NA
0.05,100,"Stirling-Gamma",20,20,0.978392348305969,0.000471989040285566,0.0215916280276727,0.000396519657276848,0,-0.0201304183656332,NA,NA,0.00399999999999068,0.00600000000000023,NA,NA,NA
0.1,100,"P-IG Gibbs",20,20,0.0143650949462306,0.00109911338807463,0.000223163172753964,2.3118039515224e-05,1,0.00278918421065487,0.654821239621103,579.399678296244,5.8769999999995,5.96219999999994,NA,0.0946382508416159,0.00180599146093783
0.1,100,"Slice-log-alpha",20,20,0.013596662687992,0.00112993682897563,0.000224424279814044,1.68082698570497e-05,1,0.00278636539346413,0.8,21054.9645390073,0.187500000000014,0.20830000000002,NA,0.0026021619486157,0.00155615105581767
0.1,100,"Miller-IMH",20,20,0.0128523818824246,0.000937006401264371,0.000207243063016004,1.90845021667326e-05,1,0.0027326611956167,0.8,51933.5618648384,0.0780000000000172,0.101899999999998,0.998,0.00446477361087375,0.00610011878684373
0.1,100,"Miller-Gamma",20,20,0.000899338232696713,1.65080900356473e-05,3.68824680021826e-05,1.31566053001871e-06,1,0.00276006187655625,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
0.1,100,"Stirling-Gamma",20,20,0.950601303826715,0.00113595081606193,0.0385539155943479,0.000546734574904025,0,-0.0357569711053508,NA,NA,0.00400000000000489,0.00600000000000023,NA,NA,NA
