"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
31,"damsleth","Damsleth n=5",31,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
31,"damsleth","Damsleth n=5",31,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999873413781896,4.68330185789626,0.0737115314771604,0.00052832541712066,0.0333066700703091,0.123181050300879,FALSE,3776.15032031727,0.755230064063454,10977.181163713,0.0286617528416288,0.0226080523025982,0.344,NA,NA,200,4000,""
32,"damsleth","Damsleth n=5",32,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
32,"damsleth","Damsleth n=5",32,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872743930734,4.68327136055256,0.0737420288208652,0.000510942756122471,0.0340234734964295,0.122147836470976,FALSE,3796.31822419991,0.759263644839983,11332.2932065669,0.0260004179957775,-0.00747809351835468,0.335,NA,NA,200,4000,""
33,"damsleth","Damsleth n=5",33,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
33,"damsleth","Damsleth n=5",33,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872659208827,4.68255192605567,0.0744614633177538,0.000513057681332017,0.0343658139662168,0.122406540710228,FALSE,3538.80628954953,0.707761257909906,9968.46842126629,0.0610513799343228,-0.00577516298355878,0.355,NA,NA,200,4000,""
34,"damsleth","Damsleth n=5",34,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
34,"damsleth","Damsleth n=5",34,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999870893376228,4.68231391480313,0.0746994745702984,0.000518233263590797,0.0343656129414092,0.122699380023008,FALSE,3731.73695418516,0.746347390837032,11661.6779818286,0.0345714523700951,0.0137162929346406,0.32,NA,NA,200,4000,""
35,"damsleth","Damsleth n=5",35,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
35,"damsleth","Damsleth n=5",35,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872884674586,4.6828997772833,0.0741136120901238,0.000511526864437606,0.0337370678081179,0.123753254253858,FALSE,3555.44946356262,0.711089892712524,9635.3643998987,0.0587137822810724,0.027890097311704,0.369,NA,NA,200,4000,""
